subject,session,modality,direction,rsn_idx,rsn_name,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6
5185,REST2,ASL,LR,7,executive_ctrl,1.1216018068928084,0.9520088144762343,0.6931471805599453,1.252762968495368,1.0116009116784799,1.791759469228055
5185,REST2,ASL,LR,8,right_frontoparietal,1.16857087727502,1.2636920390275583,0.7205461547480597,0.8873031950009028,0.6931471805599453,0.6061358035703156
5185,REST2,ASL,LR,9,left_frontoparietal,0.9675840262617056,0.8622235106038793,1.5040773967762742,1.5040773967762742,0.6931471805599453,0.8472978603872037
5185,REST2,ASL,RL,0,medial_visual,1.213022639845854,1.285198244248522,1.1786549963416462,0.916290731874155,0.916290731874155,0.5108256237659907
5185,REST2,ASL,RL,1,occipital_pole,1.1053919756534885,0.9473813189441862,0.9555114450274363,1.0986122886681098,0.7731898882334817,0.8472978603872037
5185,REST2,ASL,RL,2,lateral_visual,1.1537987042354005,1.1962507582320256,1.0608719606852628,1.0116009116784799,0.6931471805599453,0.6931471805599453
5185,REST2,ASL,RL,3,default_mode,1.3111737306517826,1.2636920390275583,1.5260563034950494,1.6094379124341003,1.6094379124341003,0.916290731874155
5185,REST2,ASL,RL,4,cerebellum,0.7873997188061347,0.7514160886839211,0.8266785731844679,1.0986122886681098,,-0.0
5185,REST2,ASL,RL,5,sensorimotor,1.1042461063863658,0.8622235106038793,0.9932517730102834,0.6931471805599453,,1.3862943611198906
5185,REST2,ASL,RL,6,auditory,0.9452782687474074,0.916290731874155,1.466337068793427,1.0116009116784799,1.3862943611198906,1.0986122886681098
5185,REST2,ASL,RL,7,executive_ctrl,1.0920548881219507,1.3581234841531944,1.791759469228055,0.9808292530117262,0.5596157879354228,0.40546510810816444
5185,REST2,ASL,RL,8,right_frontoparietal,0.916290731874155,1.006804739414987,1.0986122886681098,1.3862943611198906,1.6094379124341003,0.15415067982725836
5185,REST2,ASL,RL,9,left_frontoparietal,1.1727202608218315,1.2909841813155656,1.1526795099383855,0.6931471805599453,0.5108256237659907,0.40546510810816444
1222,REST1,BOLD,AP,0,medial_visual,0.9268500973797631,1.081034457404137,0.961009560723524,0.9605354336719124,1.0771719574302403,0.9961605637585151
1222,REST1,BOLD,AP,1,occipital_pole,0.49454071277778117,0.7354633852947022,0.8320449431319349,0.8816852026966795,0.979067138018327,1.0453677741492975
1222,REST1,BOLD,AP,2,lateral_visual,0.8434993296480002,1.028760187570799,1.072027454857048,1.082082986716899,0.9417075448582783,1.3090630131839005
1222,REST1,BOLD,AP,3,default_mode,0.5776587535823356,0.7979328183634798,0.7662980621955604,0.8787528125550899,0.9251403471511377,0.9509762898620451
1222,REST1,BOLD,AP,4,cerebellum,0.8072604873273663,0.9431500009244235,0.918535401727979,0.7602243426487578,0.930333088997194,0.916290731874155
1222,REST1,BOLD,AP,5,sensorimotor,0.6783469605738045,0.817246188841439,0.8458682675776091,0.8728611739468192,0.9767888434747213,0.8417882045762339
1222,REST1,BOLD,AP,6,auditory,0.5844486435314041,0.7221047364711063,0.6830290503943606,0.7404000654104909,0.9199204999247338,0.943606542521118
1222,REST1,BOLD,AP,7,executive_ctrl,0.8131687267369555,0.90663183141924,0.8765331334096865,0.929194136710063,0.9555114450274363,1.0986122886681098
1222,REST1,BOLD,AP,8,right_frontoparietal,0.48514262655661433,0.6394487248511455,0.6362132588075935,0.6911689405478396,0.7107429424503249,0.6754476034605444
1222,REST1,BOLD,AP,9,left_frontoparietal,0.3654981958716623,0.5790711872253645,0.7263728281882657,0.798223564947214,0.8391010931830252,1.0615710169877606
1222,REST1,BOLD,PA,0,medial_visual,0.4646481703025907,0.6524945483908444,0.7516189490152791,0.8066475544243279,0.8938178760220964,0.7127556519483216
1222,REST1,BOLD,PA,1,occipital_pole,0.36245330917832796,0.5025535177726592,0.5901231145631386,0.672575026484737,0.7537718023763802,0.8649974374866046
1222,REST1,BOLD,PA,2,lateral_visual,0.40551223457203883,0.5913644862500029,0.738187905984249,0.6702533606940928,0.6999731456303452,0.6652383924428686
1222,REST1,BOLD,PA,3,default_mode,0.4798869664229098,0.7357067949787413,0.9260542341420063,0.9650808960435872,1.1141164752040749,0.8685000680378065
1222,REST1,BOLD,PA,4,cerebellum,0.6670011731858048,0.6771040557193696,0.5884712447679784,0.5538542970602744,0.5116449601493932,0.5553294547547375
1222,REST1,BOLD,PA,5,sensorimotor,0.30284042277914536,0.38273488512046816,0.407585999677302,0.4219128473171903,0.44120872729779087,0.4239271709478999
1222,REST1,BOLD,PA,6,auditory,0.4685451312398702,0.6547811206738545,0.7682593980164897,0.7711741649144029,0.664368216009902,0.845487905141964
1222,REST1,BOLD,PA,7,executive_ctrl,0.518402532164163,0.6936789540369809,0.7121953755306398,0.8245696093096474,0.8512582616033006,0.9480394301887354
1222,REST1,BOLD,PA,8,right_frontoparietal,0.8590094525569207,0.9568687158879051,0.8818585354526709,0.831070323765447,0.92510136155631,0.8764261333102272
1222,REST1,BOLD,PA,9,left_frontoparietal,0.5025204165392047,0.7145354376071996,0.8202573990914676,0.8922272919425198,0.8655632083644968,0.9311058176592958
1222,REST2,BOLD,AP,0,medial_visual,0.9621603847406963,0.7700127608588095,0.5537276453102001,0.5506471179526623,0.6150788071901265,0.38904437789583685
1222,REST2,BOLD,AP,1,occipital_pole,0.6009646347258518,0.6182109938513239,0.6866040819710094,0.7509172526243585,0.6826758806926498,0.7094963185614748
1222,REST2,BOLD,AP,2,lateral_visual,1.1898014345521186,1.1225794196405297,1.0027002430616863,0.9537312932444754,0.9281855195263042,0.9913005528790216
1222,REST2,BOLD,AP,3,default_mode,0.7894615263802847,0.8726948104711747,0.7663197864496047,0.9478850972923721,0.8831907834478103,0.8133963087115222
1222,REST2,BOLD,AP,4,cerebellum,0.9171652400190877,0.7374951710142538,0.5497059113840694,0.5674726594306427,0.6378845018848958,0.5298738187366852
1222,REST2,BOLD,AP,5,sensorimotor,0.737824661480382,0.6609348184751088,0.5256278095711262,0.5534619223610445,0.5596157879354228,0.6127980533957319
1222,REST2,BOLD,AP,6,auditory,1.0823817590089062,0.8196992437399199,0.7628397197333019,0.7140803902264111,0.7659696402599946,0.8183103235139514
1222,REST2,BOLD,AP,7,executive_ctrl,0.8489066358712956,0.5828131642922253,0.48448709506431525,0.4020787181466466,0.47046139991063046,0.43840926382751844
